Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,WILEY,232.4,353.0,232.2,112.16,Q1,ONCOLOGY|Q1|1/322,0007-9235,1542-4863,71799,6,14,3.7,4.7,1/326
2,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,NATURE PORTFOLIO,103.3,99.1,102.8,9.86,Q1,MICROBIOLOGY|Q1|1/161,1740-1526,1740-1534,61109,0,49,6.7,5.4,1/163
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,NATURE PORTFOLIO,101.8,129.8,101.1,13.95,Q1,PHARMACOLOGY & PHARMACY|Q1|1/354,1474-1776,1474-1784,52833,4,36,6.5,5.4,1/352
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,NATURE PORTFOLIO,90.2,128.7,89.6,7.94,Q1,CELL BIOLOGY|Q1|1/205,1471-0072,1471-0080,73135,0,49,7.1,6.9,1/204
5,Kidney International Supplements,KIDNEY INT SUPPL,ELSEVIER SCIENCE INC,89.6,26.0,89.6,5.88,Q1,UROLOGY & NEPHROLOGY|Q1|3/126,2157-1724,2157-1716,3196,9,9,11.0,5.6,1/133
6,LANCET,LANCET,ELSEVIER SCIENCE INC,88.5,104.8,87.1,23.28,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|1/325",0140-6736,1474-547X,347563,198,251,7.8,4.5,1/332
7,Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,86.2,99.8,85.9,4.42,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|1/140,2058-8437,2058-8437,43197,10,60,4.9,5.0,1/460
8,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,NATURE PORTFOLIO,82.2,89.9,81.7,11.95,Q1,ONCOLOGY|Q1|2/322,1759-4774,1759-4782,33355,3,48,4.6,4.6,2/326
9,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,78.5,84.9,77.9,23.30,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|2/325",0028-4793,1533-4406,397323,246,293,8.4,5.3,2/332
10,Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,71.5,73.7,71.1,5.96,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|1/253",N/A,2662-138X,14133,3,52,3.0,7.2,1/374
