  Iohexol: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Vincristine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Vinorelbine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Xylazine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Cyclopentolate Ophthalmic: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Fluorescein Stain Ophthalmic: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Docusate: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Doxycycline: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Edetate Calcium Disodium: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Emodepside/Praziquantel: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Enalapril: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Enoxaparin: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Enrofloxacin: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Ephedrine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Epinephrine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Eprinomectin: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Epsiprantel: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Erythromycin: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Estradiol: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Estriol: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Ethanol: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Etodolac: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Etomidate: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Penicillin G: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Pentoxifylline: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Phosphate (Potassium-, Sodium-), IV   1021: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Phytonadione: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Pimobendan: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Piperacillin/Tazobactam: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Piperazine: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Pirlimycin: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Piroxicam: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Polyethylene Glycol: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Polymyxin B, Systemic: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
  Polysulfated Glycosaminoglycan: API error: Error code: 400 - {'error': {'code': 'unknown_model', 'message': 'Unknown model: claude-3-5-sonnet', 'details': 'Unknown model: claude-3-5-sonnet'}}
